ID;Nazwa;Liczba głosów;Trzecia Droga;Konfederacja;Bezpartyjni Samorządowcy;Koalicja Obywatelska;Lewica;Prawo i Sprawiedliwość;SENAT;SEJM;EUROPARLAMENT;SEJMIK
1;Wroclaw A;128750;6061;14332;1647;58425;17481;30561;8;;;
2;Wroclaw B;117507;6154;12575;1340;54305;17819;25089;7;;;
3;Lodz A;131273;5665;10817;961;60113;22369;30847;23;;;
4;Lodz B;100580;4282;8819;774;44641;15587;26115;24;;;
5;Krakow A;163732;12021;20173;1259;72437;18077;38724;33;;;
6;Krakow B;137399;10457;17912;1107;56701;12830;37538;32;;;
7;Zagranica i statki;96649;5345;15702;708;39496;15646;19542;44;19;4;
8;Bemowo;54208;4006;5758;586;27605;5703;10426;45;;;2
9;Białołęka;55882;4748;7313;730;26949;5681;10315;44;;;3
10;Bielany;55972;3698;5702;641;25989;6433;13372;44;;;2
11;Mokotów;95663;6207;8211;836;48485;13428;18311;43;;;1
12;Ochota;33875;2261;3243;328;16055;5065;6852;45;;;1
13;Praga-Południe;78603;5381;7522;765;37114;10054;17604;42;;;3
14;Praga-Północ;22391;1260;2137;235;8846;3469;6387;42;;;3
15;Rembertów;10409;701;1365;122;4677;901;2614;42;;;3
16;Śródmieście;44812;2576;3682;374;21362;6674;10055;44;;;1
17;Targówek;48225;3420;5359;503;20805;4694;13335;42;;;3
18;Ursus;26281;2184;3572;341;11443;2513;6153;45;;;2
19;Ursynów;71868;4873;6346;663;39052;8117;12690;43;;;1
20;Wawer;36981;2936;4220;354;17193;2791;9383;43;;;3
21;Wesoła;11896;930;1474;140;5547;953;2824;42;;;3
22;Wilanów;19864;1456;1613;122;11919;2018;2715;43;;;1
23;Włochy;19356;1532;2450;252;8816;2174;4078;45;;;2
24;Wola;56644;3912;5977;576;26185;7463;12395;45;;;2
25;Żoliborz;25653;1732;2109;211;12828;3938;4792;44;;;2
