SenateID;Name
1;Bolesławiec
2;Jelenia Góra
3;Legnica
4;Wałbrzych
5;Oleśnica
6;Dzierżoniów
7;Wrocław-Wsch.
8;Wrocław-Zach.
9;Świecie
10;Inowrocław
11;Toruń
12;Grudziądz
13;Włocławek
14;Puławy
15;Świdnik
16;Lublin
17;Biała Podlaska
18;Chełm
19;Zamość
20;Zielona Góra
21;Gorzów Wielkopolski
22;Żary
23;Łódź-Zach.
24;Łódź-Wsch.
25;Kutno
26;Pabianice
27;Sieradz
28;Piotrków Trybunalski
29;Skierniewice
30;Chrzanów
31;Olkusz
32;Kraków-Wsch.
33;Kraków-Zach.
34;Wieliczka
35;Tarnów
36;Nowy Targ
37;Nowy Sącz
38;Płock
39;Ciechanów
40;Legionowo
41;Pruszków
42;Praga-Południe
43;Mokotów
44;Białołęka
45;Wola
46;Ostrołęka
47;Mińsk Mazowiecki
48;Siedlce
49;Kozienice
50;Radom
51;Nysa
52;Opole
53;Kędzierzyn-Koźle
54;Tarnobrzeg
55;Mielec
56;Rzeszów
57;Krosno
58;Przemyśl
59;Suwałki
60;Białystok
61;Bielsk Podlaski
62;Słupsk
63;Chojnice
64;Gdynia
65;Gdańsk
66;Tczew
67;Malbork
68;Myszków
69;Częstochowa
70;Gliwice
71;Zabrze
72;Jastrzębie-Zdrój
73;Rybnik
74;Ruda Śląska
75;Tychy
76;Dąbrowa Górnicza
77;Sosnowiec
78;Bielsko-Biała
79;Cieszyn
80;Katowice
81;Jędrzejów
82;Ostrowiec Świętokrzyski
83;Kielce
84;Elbląg
85;Ostróda
86;Olsztyn
87;Ełk
88;Piła
89;Oborniki
90;Luboń
91;Poznań
92;Gniezno
93;Konin
94;Leszno
95;Ostrów Wielkopolski
96;Kalisz
97;Szczecin
98;Świnoujście
99;Kołobrzeg
100;Koszalin
